"2020-015","2020-015-01","2020-015-01-01","2020-015-01-01-01",6/17/2021,1,,"141 S. Ct. 1868","210 L. Ed. 2d 137","2021 U.S. LEXIS 3121",2020,1709,"Roberts","19-123","FULTON v. CITY OF PHILADELPHIA, PENNSYLVANIA",11/4/2020,,130,,3,45,1,,,0,109,,23,,0,12,2,2,1,4,0,1,0,0,20130,2,1,,4,,8,800,,111,111,1,9,0
"2020-016","2020-016-01","2020-016-01-01","2020-016-01-01-01",2/25/2021,1,,"141 S. Ct. 740","209 L. Ed. 2d 33","2021 U.S. LEXIS 1198",2020,1709,"Roberts","19-546","BROWNBACK v. KING",11/9/2020,,19,60,208,,1,,,0,82,,26,,1,12,3,2,1,3,0,1,0,0,80060,8,1,,4,,3,374,,108,111,1,9,0
"2020-017","2020-017-01","2020-017-01-01","2020-017-01-01-01",4/29/2021,1,,"141 S. Ct. 1474","209 L. Ed. 2d 433","2021 U.S. LEXIS 2232",2020,1709,"Roberts","19-863","NIZ-CHAVEZ v. GARLAND, ATTORNEY GENERAL",11/9/2020,,106,,1,,1,7,,0,26,,26,,0,2,2,1,1,3,0,1,0,0,20310,2,2,0,4,,3,344,,115,108,1,6,3
"2020-018","2020-018-01","2020-018-01-01","2020-018-01-01-01",6/17/2021,1,,"141 S. Ct. 2104","210 L. Ed. 2d 230","2021 U.S. LEXIS 3119",2020,1709,"Roberts","19-840","CALIFORNIA v. TEXAS",11/10/2020,,28,6,28,51,1,,,0,120,,25,,0,12,6,2,1,4,0,1,0,0,90310,9,1,0,1,,1,139,,110,111,1,7,2
"2020-019","2020-019-01","2020-019-01-01","2020-019-01-01-01",6/3/2021,1,,"141 S. Ct. 1648","210 L. Ed. 2d 26","2021 U.S. LEXIS 2843",2020,1709,"Roberts","19-783","VAN BUREN v. UNITED STATES",11/30/2020,,126,,27,,1,,,0,60,,31,,0,2,2,1,1,4,0,1,0,0,10570,1,2,0,4,,6,600,"Computer Fraud and Abuse Act",117,110,1,6,3
"2020-020","2020-020-01","2020-020-01-01","2020-020-01-01-01",5/17/2021,1,,"141 S. Ct. 1547","209 L. Ed. 2d 651","2021 U.S. LEXIS 2584",2020,1709,"Roberts","19-5807","EDWARDS v. VANNOY, WARDEN",12/2/2020,,215,,19,22,1,,,0,76,,25,,0,11,9,1,1,2,0,0,1,0,10040,1,1,0,,,1,121,,116,111,1,6,3
"2020-021","2020-021-01","2020-021-01-01","2020-021-01-01-01",6/17/2021,7,,"141 S. Ct. 1931","210 L. Ed. 2d 207","2021 U.S. LEXIS 3120",2020,1709,"Roberts","19-416","NESTLE USA v. DOE I",12/1/2020,,122,,106,,1,,,0,48,,29,,0,12,4,2,1,4,0,1,0,0,90230,9,1,1,4,,6,600,"28 U.S.C. 1350",108,111,1,8,1
"2020-022","2020-022-01","2020-022-01-01","2020-022-01-01-01",5/17/2021,1,,"141 S. Ct. 1582","209 L. Ed. 2d 615","2021 U.S. LEXIS 2585",2020,1709,"Roberts","19-930","CIC SERVICES, LLC v. INTERNAL REVENUE SERVICE",12/1/2020,,122,,369,,1,,,0,116,,26,,1,12,2,2,1,4,0,1,0,0,120010,12,1,,4,,6,600,"26 USC 7421",114,111,1,9,0
"2020-025","2020-025-01","2020-025-01-01","2020-025-01-01-01",2/3/2021,6,,"141 S. Ct. 691","208 L. Ed. 2d 625","2021 U.S. LEXIS 755",2020,1709,"Roberts","18-1447","REPUBLIC OF HUNGARY v. SIMON",12/7/2020,,24,,166,,1,,,,55,,32,,,,2,2,1,5,0,1,0,0,80060,8,1,,,,,,,,111,1,9,0
"2020-026","2020-026-01","2020-026-01-01","2020-026-01-01-01",2/3/2021,1,,"141 S. Ct. 703","208 L. Ed. 2d 589","2021 U.S. LEXIS 756",2020,1709,"Roberts","19-351","FEDERAL REPUBLIC OF GERMANY v. PHILIPP",12/7/2020,,24,,166,,1,,,0,55,,32,,1,13,2,2,1,5,0,1,0,0,80060,8,1,0,4,,6,600,"Foreign Sovereign Immunities Act",111,111,1,9,0
"2020-027","2020-027-01","2020-027-01-01","2020-027-01-01-01",4/1/2021,1,,"141 S. Ct. 1163","209 L. Ed. 2d 272","2021 U.S. LEXIS 1742",2020,1709,"Roberts","19-511","FACEBOOK INC. v. DUGUID",12/8/2020,,133,,174,,1,,,0,50,,29,,0,2,4,2,1,4,0,1,0,0,80340,8,1,,4,,6,600,"Telephone Consumer Protection Act, 47 U.S.C. 227",113,111,1,9,0
"2020-028","2020-028-01","2020-028-01-01","2020-028-01-01-01",1/25/2021,6,,"141 S. Ct. 656","208 L. Ed. 2d 512","2021 U.S. LEXIS 746",2020,1709,"Roberts","19-963","HENRY SCHEIN INC. v. ARCHER AND WHITE SALES INC.",12/8/2020,,184,,141,,1,,,0,119,,25,,,,,,1,9,0,0,0,0,,,,,,,,,,,111,1,9,0
"2020-029","2020-029-01","2020-029-01-01","2020-029-01-01-01",6/23/2021,1,,"141 S. Ct. 1761","210 L. Ed. 2d 432","2021 U.S. LEXIS 3397",2020,1709,"Roberts","19-422","COLLINS v. YELLEN",12/9/2020,,237,,408,,1,,,0,121,,25,,1,12,6,3,2,7,0,1,0,0,130015,13,2,0,1,,1,131,,112,111,1,7,2
